"","","mpn","name","status","type","wifi","bluetooth","threadZigbee","operatingTemp","gpio","flash","sram","rom","psram","freq","dimensions","spq","moq","preFirmware","idfSupports","voltageRange"
"FALSE","1","ESP32-S3","ESP32-S3","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 105","45","0, Quad","512","384","0, Quad","240","QFN56 (7*7)","2000","2000","N/A","v0.x","3.0 ~ 3.6"
"FALSE","2","ESP32-S3R2","ESP32-S3","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 85","45","0, Quad","512","384","2, Quad","240","QFN56(7*7)","2000","2000","N/A","v0.x","3.0 ~ 3.6"
"FALSE","3","ESP32-S3R8","ESP32-S3","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 65","45","0, Quad","512","384","8, Octal","240","QFN56(7*7)","2000","2000","N/A","v0.x","3.0 ~ 3.6"
"FALSE","4","ESP32-S3-PICO-1-N8R2","ESP32-S3-PICO-1","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 85","39","8, Quad","512","384","2, Quad","240","LGA56(7*7)","2000","2000","N/A","v0.x","3.0 ~ 3.6"
"FALSE","5","ESP32-C5NR4","ESP32-C5","Sample","SoC","IEEE 802.11b/g/n; 2.4/5 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","Yes","-40 ~ 85","22","0","384","320","4","240","QFN 6*6","5000","5000","NO","","3.0 ~ 3.6"
"FALSE","6","ESP32-C5NF4","ESP32-C5","Sample","SoC","IEEE 802.11b/g/n; 2.4/5 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","Yes","-40 ~ 85","22","4","384","320","0","240","QFN 6*6","5000","5000","NO","","3.0 ~ 3.6"
"FALSE","7","ESP32-C5-WROOM-1-N4","ESP32-C5-WROOM-1","Sample","Module","IEEE 802.11b/g/n; 2.4/5 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","Yes","-40 ~ 85","22","4","384","320","0","240","18*27.5*3.3","650","3250","NO","","3.0 ~ 3.6"
"FALSE","8","ESP32-C5-WROOM-1-N8R4","ESP32-C5-WROOM-1","Sample","Module","IEEE 802.11b/g/n; 2.4/5 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","Yes","-40 ~ 85","22","8","384","320","4","240","18*27.5*3.3","650","3250","NO","","3.0 ~ 3.6"
"FALSE","9","ESP32-C5-WROOM-1-N16R4","ESP32-C5-WROOM-1","Sample","Module","IEEE 802.11b/g/n; 2.4/5 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","Yes","-40 ~ 85","22","16","384","320","4","240","18*27.5*3.3","650","3250","NO","","3.0 ~ 3.6"
"FALSE","10","ESP32-C5-WROOM-1U-N8R4","ESP32-C5-WROOM-1U","Sample","Module","IEEE 802.11b/g/n; 2.4/5 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","Yes","-40 ~ 85","22","8","384","320","4","240","18*27.5*3.3","650","3250","NO","","3.0 ~ 3.6"
"FALSE","11","ESP32-S3R8V","ESP32-S3","EOL","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 65","45","0, Quad","512","384","8, Octal","240","QFN56(7*7)","2000","2000","N/A","v0.x","3.0 ~ 3.6"
"FALSE","12","ESP32-S3FN8","ESP32-S3","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 85","45","8, Quad","512","384","0, Quad","240","QFN56(7*7)","2000","2000","NO","v0.x","3.0 ~ 3.6"
"FALSE","13","ESP32-S3R16V","ESP32-S3","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 65","45","0, Quad","512","384","16, Octal","240","QFN56(7*7)","2000","2000","N/A","v0.x","3.0 ~ 3.6"
"FALSE","14","ESP32-C3","ESP32-C3","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 105","22","0, Quad","400","384","0, Quad","160","QFN32 (5*5)","5000","5000","N/A","v0.x","3.0 ~ 3.6"
"FALSE","15","ESP32-C3FN4","ESP32-C3","EOL","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 85","22","4, Quad","400","384","0, Quad","160","QFN32 (5*5)","5000","5000","NO","v0.x","3.0 ~ 3.6"
"FALSE","16","ESP32-C3FH4","ESP32-C3","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 105","22","4, Quad","400","384","0, Quad","160","QFN32 (5*5)","5000","5000","NO","v0.x","3.0 ~ 3.6"
